nom,date,min_minutes_to_active_zone
Niangara,2026-05-15,522.261
Rungu,2026-05-15,406.547
Mambasa,2026-05-15,206.482
Rimba,2026-05-15,134.544
Logo,2026-05-15,141.782
Angumu,2026-05-15,180.473
Nyarambe,2026-05-15,209.329
Mahagi,2026-05-15,168.378
Makoro,2026-05-15,238.309
Kambala,2026-05-15,149.981
Biringi,2026-05-15,175.765
Laybo,2026-05-15,345.938
Ariwara,2026-05-15,309.131
Adi,2026-05-15,347.608
Aru,2026-05-15,224.933
Adja,2026-05-15,260.573
Aungba,2026-05-15,192.735
Faradje,2026-05-15,379.256
Gombari,2026-05-15,341.061
Dungu,2026-05-15,468.84
Watsa,2026-05-15,221.647
Demba,2026-05-15,1990.457
Mutoto,2026-05-15,1932.113
Lubunga (Kasaï-Central),2026-05-15,1866.128
Kananga,2026-05-15,1927.648
Maluku 2,2026-05-15,2964.791
Nselo,2026-05-15,3201.374
Lomela,2026-05-15,1716.86
Nioki,2026-05-15,2883.497
Bolobo,2026-05-15,3195.01
Mushie,2026-05-15,3050.764
Kwamouth,2026-05-15,3001.69
Mokala,2026-05-15,2652.553
Kisanji,2026-05-15,2510.933
Lukonga,2026-05-15,1920.556
Tunda,2026-05-15,1481.06
Bosobolo,2026-05-15,1653.144
Businga,2026-05-15,1402.176
Boto,2026-05-15,1802.483
Lisala,2026-05-15,1391.222
Ndage,2026-05-15,1477.908
Mwela Lembwa,2026-05-15,2754.127
Kingabwa,2026-05-15,3005.438
Likati,2026-05-15,1026.746
Yahuma,2026-05-15,959.414
Ikela,2026-05-15,1136.112
Lubunga (Tshopo),2026-05-15,711.186
Ubundu,2026-05-15,815.584
Kailo,2026-05-15,1382.179
Ototo,2026-05-15,1880.136
Tshumbe,2026-05-15,1692.856
Lusangi,2026-05-15,1227.385
Bobozo,2026-05-15,1930.404
Punia,2026-05-15,1157.216
Kyondo,2026-05-15,266.431
Mabalako,2026-05-15,215.759
Biena,2026-05-15,286.023
Masereka,2026-05-15,294.699
Lubero,2026-05-15,331.564
Manguredjipa,2026-05-15,329.876
Mutwanga,2026-05-15,233.277
Kamango,2026-05-15,215.6
Oicha,2026-05-15,141.991
Binza,2026-05-15,518.063
Rwanguba,2026-05-15,482.371
Rutshuru,2026-05-15,478.191
Birambizo,2026-05-15,488.73
Beni,2026-05-15,179.046
Vuhovi,2026-05-15,228.847
Musienene,2026-05-15,321.341
Butembo,2026-05-15,238.26
Katwa,2026-05-15,234.023
Kayna,2026-05-15,359.652
Goma,2026-05-15,538.895
Karisimbi,2026-05-15,531.746
Kibua,2026-05-15,671.767
Masisi,2026-05-15,621.42
Mweso,2026-05-15,499.155
Kirotshe,2026-05-15,563.172
Pinga,2026-05-15,384.625
Walikale,2026-05-15,844.773
Kibirizi,2026-05-15,416.413
Kalunguta,2026-05-15,186.496
Alimbongo,2026-05-15,315.223
Nyiragongo,2026-05-15,520.403
Katoyi,2026-05-15,600.832
Bambo,2026-05-15,475.633
Itebero,2026-05-15,809.655
Mwana,2026-05-15,831.935
Kaziba,2026-05-15,817.596
Nyantende,2026-05-15,763.439
Nyangezi,2026-05-15,783.679
Kabare,2026-05-15,785.382
Mubumbano,2026-05-15,806.469
Walungu,2026-05-15,783.334
Haut Plateau,2026-05-15,892.759
Kaniola,2026-05-15,819.507
Kalonge,2026-05-15,825.3
Bunyakiri,2026-05-15,847.028
Uvira,2026-05-15,867.736
Kitutu,2026-05-15,1022.728
Kamituga,2026-05-15,940.264
Itombwe,2026-05-15,1035.84
Minembwe,2026-05-15,1037.32
Nundu,2026-05-15,930.591
Ruzizi,2026-05-15,836.608
Lemera,2026-05-15,835.393
Fizi,2026-05-15,1051.187
Shabunda,2026-05-15,1107.583
Lulingu,2026-05-15,1079.019
Kalole,2026-05-15,1039.284
Mwenga,2026-05-15,869.185
Mulungu,2026-05-15,924.384
Bagira,2026-05-15,757.03
Kadutu,2026-05-15,753.785
Ibanda,2026-05-15,750.962
Katana,2026-05-15,681.261
Lualaba,2026-05-15,2448.766
Kafakumba,2026-05-15,2119.601
Kanzenze,2026-05-15,2253.307
Kasaji,2026-05-15,2440.4
Dilolo,2026-05-15,2374.129
Sandoa,2026-05-15,2312.819
Kalamba,2026-05-15,2019.389
Lubudi,2026-05-15,2379.855
Bunkeya,2026-05-15,2019.951
Fungurume,2026-05-15,2107.725
Kambove,2026-05-15,2082.331
Lubumbashi,2026-05-15,2187.905
Kisanga,2026-05-15,2224.927
Katuba,2026-05-15,2228.591
Mumbunda,2026-05-15,2205.252
Kipushi,2026-05-15,2214.801
Sakania,2026-05-15,2494.458
Kafubu,2026-05-15,2237.1
Kilela Balanda,2026-05-15,2160.684
Manika,2026-05-15,2164.368
Vangu,2026-05-15,2186.302
Kowe,2026-05-15,2185.192
Mitwaba,2026-05-15,1780.33
Gombe,2026-05-15,3012.41
Minova,2026-05-15,608.938
Kalehe,2026-05-15,686.908
Miti Murhesa,2026-05-15,781.775
Idjwi,2026-05-15,
Aba,2026-05-15,399.884
Masina 2,2026-05-15,2999.682
Kapanga,2026-05-15,2132.716
Dilala,2026-05-15,2373.851
Mutshatsha,2026-05-15,2403.69
Kikula,2026-05-15,2052.828
Kimbi Lulenge,2026-05-15,1104.493
Ferekeni,2026-05-15,1131.798
Wapinda,2026-05-15,1187.372
Likasi,2026-05-15,2063.85
Kasenga,2026-05-15,2305.334
Ntandembelo,2026-05-15,2134.956
Yumbi,2026-05-15,3119.334
Tshudi Loto,2026-05-15,1923.021
Kiri,2026-05-15,2010.805
Busanga,2026-05-15,1296.792
Yalifafu,2026-05-15,1214.066
Dekese,2026-05-15,2055.728
Mimia,2026-05-15,2143.462
Makanza,2026-05-15,1767.97
Bomongo,2026-05-15,1995.768
Mampoko,2026-05-15,1767.97
Pendjwa,2026-05-15,1858.522
Bokungu,2026-05-15,1346.874
Wema,2026-05-15,1599.428
Befale,2026-05-15,1394.989
Lotumbe,2026-05-15,1810.074
Monkoto,2026-05-15,1673.526
Djombo,2026-05-15,1513.154
Bongandanga,2026-05-15,1305.452
Lingomo,2026-05-15,1223.023
Basankusu,2026-05-15,1605.11
Boende,2026-05-15,1487.641
Mompono,2026-05-15,1255.025
Monieka,2026-05-15,1518.872
Banzow Moke,2026-05-15,1993.855
Inongo,2026-05-15,1940.308
Wangata,2026-05-15,1897.604
Bolenge,2026-05-15,1890.892
Bolomba,2026-05-15,1737.916
Ingende,2026-05-15,1708.487
Iboko,2026-05-15,1775.896
Irebu,2026-05-15,2193.791
Mbandaka,2026-05-15,1903.686
Lukolela,2026-05-15,2172.524
Bikoro,2026-05-15,1835.534
Ntondo,2026-05-15,2140.882
Lilanga Bobangi,2026-05-15,1895.939
Wembo Nyama,2026-05-18,1089.928
Kole,2026-05-18,1359.464
Pania Mutombo,2026-05-18,1229.177
Minga,2026-05-18,1212.696
Lusambo,2026-05-18,1367.296
Dikungu,2026-05-18,1205.572
Vanga Kete,2026-05-18,1174.085
Lodja,2026-05-18,1171.352
Omendjadi,2026-05-18,1218.016
Djalo Ndjeka,2026-05-18,1065.087
Katako Kombe,2026-05-18,941.25
Bena Dibele,2026-05-18,1270.114
Kamiji,2026-05-18,1287.0
Citenge,2026-05-18,1208.286
Miabi,2026-05-18,1277.262
Ngandajika,2026-05-18,1213.603
Mulumba,2026-05-18,1197.045
Tshilenge,2026-05-18,1204.426
Cilundu,2026-05-18,1274.368
Lubao,2026-05-18,923.495
Kalonda Est,2026-05-18,1087.406
Kabinda,2026-05-18,1089.402
Ludimbi Lukula,2026-05-18,1099.057
Kalambayi Kabanga,2026-05-18,1190.934
Makota,2026-05-18,1291.786
Mweneditu,2026-05-18,1289.206
Wikong,2026-05-18,1377.286
Luputa,2026-05-18,1321.117
Kanda Kanda,2026-05-18,1251.866
Bonzola,2026-05-18,1220.861
Dibindi,2026-05-18,1217.088
Kansele,2026-05-18,1219.627
Muya,2026-05-18,1222.378
Diulu,2026-05-18,1222.193
Bipemba,2026-05-18,1224.428
Mpokolo,2026-05-18,1227.903
Nzaba,2026-05-18,1227.304
Kabeya Kamwanga,2026-05-18,1284.223
Mukumbi,2026-05-18,1258.946
Lukelenge,2026-05-18,1222.343
Tshishimbi,2026-05-18,1237.472
Lubilanji,2026-05-18,1217.715
Kamana,2026-05-18,949.722
Kasansa,2026-05-18,1217.587
Bibanga,2026-05-18,1156.542
